WATER,TOWN,Y_coord,X_coord
SEBOEIS L,Lake View Plt,45.42110722926504,-68.88439757108442
SANDY R,Farmington,44.6536384368657,-70.14291397283802
SANDY R,Phillips,44.82197379614785,-70.33531477338505
ORLAND R,Orland,44.5741587523695,-68.74381614298511
PLEASANT R,Brownville,45.32339896886869,-69.03796424808854
PISCATAQUIS R,Dover-Foxcroft,45.183890154189605,-69.23960769214355
PISCATAQUIS R,Blanchard Twp,45.26682547723528,-69.58375872894173
CARRABASSETT R,New Portland,44.90251483845724,-70.10701189960884
CARRABASSETT R,Carrabasset Valley,45.093751113161275,-70.2439340436023
DEAD RIVER,T3 R4 BKP WKR,45.26036095760388,-70.22708260136265
PASSADUMEAK R,Grand Falls Twp,45.17494560115583,-68.41034551642674
MILLINOCKET STREAM,T1 R8 WELS,45.73113053885064,-68.72686655594019
SACO RIVER,Limington,43.70904878461737,-70.65974811548637
SANDY R,Farmington,44.67272741441586,-70.1599817935336
OSSIPEE R (LITTLE),Limington,43.71970119964218,-70.67844191484247
NONESUCH R,Scarborough,43.569103421295004,-70.34725097312432
MOUSAM R,Kennebunk,43.38060312168738,-70.54170724460815
ROYAL R,North Yarmouth,43.8594753301982,-70.22792806175256
COLD STREAM,Enfield,45.24848554987813,-68.5702519298811
PRESUMPSCOT R,Windham,43.7172514296907,-70.41072422739504
MOUSAM R,Shapleigh,43.488052008244175, -70.8336806638352
GREAT B,Lebanon,43.39918584271523,-70.93101411152989
CHANDLER B (EAST BRANCH),Pownal,43.893575696050654,-70.14872987593685
CHANDLER B,North Yarmouth,43.87608331421369,-70.22025628506549
CHANDLER B,Pownal,43.88821760305896,-70.19772813370281
WEBB R,Carthage,44.59819503614084,-70.47115536659882
PASSADUMKEAG R,Lowell,45.15930186041205,-68.47786360974551
BREWER L,Orrington,44.719213775661316,-68.73985020250328
MEADOW B,Durham,43.97500115343845,-70.06921107679881
NEWELL B,Durham,43.98564952749467,-70.10090046124239
ROYAL R,Auburn,44.00676908685673,-70.2604662186373
NEZINSCOT R,Turner,44.25671262266164,-70.26324652953522
LITTLE R,Lisbon,44.00249982597636,-70.03869327508393
BROWN P,Houlton,46.153584515974565, -67.87010667519013
MATTAWAMKEAG R,Haynesville,45.8361713403225,-67.99638087006802
MATTAWAMKEAG R (EAST BRANCH),Forkstown Twp,45.89241061587763,-68.03172378040088
MATTAWAMKEAG R (EAST BRANCH),Oakfield,46.04438978560175,-68.15588900241559
CORBIN P,Grand Isle,47.25794649726515,-68.16811500787063
MEDUXNEKEAG R (NORTH BRANCH),Monticello,46.3130220330979,-67.89131874475157
MEDUXNEKEAG R (NORTH BRANCH),TC R2 WELS,46.38994248001437,-67.94599229263635
CHURCH ON THE HILL P,Houlton,46.1263443201712,-67.83899004895781
SCOPAN STREAM,Masardis,46.55931459128813,-68.3562904216603
BRANDY B,New Gloucester,43.961887064897894,-70.30438023529283
COLLYER B,Gray,43.90590672232054,-70.30271268141354
PISCATAQUA R,Cumberland,43.796087584599505,-70.31238227475706
SONGO R,Casco,43.93073094035069,-70.5745032788899
LITTLE R (NORTH BRANCH),Gorham,43.74247097448363,-70.50874859448763
PLEASANT R,Windham,43.75779293208213,-70.44757621457344
ROYAL R,Yarmouth,43.80101591129432,-70.18035592386957
JORDAN R,Raymond,43.89688671354856,-70.46205177119016
MUDDY R,Naples,43.96165264808945,-70.64133986122727
NORTHWEST R,Sebago,43.92654586338011,-70.69029351587949
CARRABASSETT R,Kingfield,44.95018833122257,-70.14399946161653
SANDY R,Madrid,44.85626302909893,-70.4179265712517
SANDY R,New Sharon,44.64041005191013,-70.02598246869023
